sciname,iucn_sid,rgn_id,rgn_name
Balaena mysticetus,2472,44,Norwegian Sea
Pagellus bogaraveo,170244,44,Norwegian Sea
Boops boops,170251,44,Norwegian Sea
Spondyliosoma cantharus,170258,44,Norwegian Sea
Mesothuria lactea,180468,44,Norwegian Sea
Mesothuria intestinalis,180540,44,Norwegian Sea
Holothuria tubulosa,180455,44,Norwegian Sea
Bathyplotes natans,180452,44,Norwegian Sea
Holothuria forskali,180297,44,Norwegian Sea
Zostera marina,153538,44,Norwegian Sea
Zostera noltii,173361,44,Norwegian Sea
Ursus maritimus,22823,44,Norwegian Sea
Lutra lutra,12419,44,Norwegian Sea
Vulpes lagopus,899,44,Norwegian Sea
Xiphias gladius,23148,44,Norwegian Sea
Thunnus thynnus,21860,44,Norwegian Sea
Scomber scombrus,170354,44,Norwegian Sea
Acantholabrus palloni,186106,44,Norwegian Sea
Symphodus melops,187748,44,Norwegian Sea
Labrus mixtus,187397,44,Norwegian Sea
Ctenolabrus rupestris,187751,44,Norwegian Sea
Centrolabrus exoletus,187803,44,Norwegian Sea
Labrus bergylta,187398,44,Norwegian Sea
Coris julis,187752,44,Norwegian Sea
