am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
Fis-26565,NA,Aldrovandia affinis,190356,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27254,NA,Aldrovandia phalacra,195838,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29601,NA,Alepisaurus brevirostris,60469186,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29263,LC,Alepisaurus ferox,154820,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33231,NA,Alepocephalus agassizii,15147715,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31228,NA,Alepocephalus rostratus,198626,Stable,LC,NA,NA,NA,am,0,0
Fis-25577,LC,Alosa fallax,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-131852,LC,Amblyraja hyperborea,63119,Unknown,LC,NA,NA,NA,am,0,NA
Fis-131855,LC,Amblyraja jenseni,161491,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23904,NA,Anoplogaster cornuta,18123960,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29641,NA,Anotopterus pharao,18123632,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23905,NA,Antimora rostrata,190385,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33130,NA,Aphyonus gelatinosus,57453548,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23005,LC,Apristurus microps,44657,Unknown,LC,NA,NA,NA,am,0,NA
Fis-136946,NA,Arctozenus risso,194997,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23017,NA,Argyrosomus regius,198706,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22714,NA,Arnoglossus laterna,198724,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49668,NA,Asquamiceps hjorti,15147791,Unknown,LC,NA,NA,NA,am,0,NA
Fis-125182,NA,Astronesthes atlanticus,190373,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49672,NA,Bajacalifornia calcarata,57453743,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27598,NA,Bajacalifornia megalops,15147816,Unknown,LC,NA,NA,NA,am,0,NA
Fis-28109,NA,Barbantus curvifrons,18155933,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30920,NA,Barbourisia rufa,21110276,Unknown,LC,NA,NA,NA,am,0,NA
Fis-62428,NA,Bassozetus compressus,190154,Unknown,LC,NA,NA,NA,am,0,NA
Fis-32820,NA,Bathygadus favosus,15522061,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34863,NA,Bathysaurus ferox,13462491,Unknown,LC,NA,NA,NA,am,0,NA
Fis-112634,NA,Bathysolea polli,15622630,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22717,NA,Belone belone,198573,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49913,NA,Benthalbella infans,13485675,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27230,LC,Benthocometes robustus,154929,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22718,NA,Benthosema glaciale,198611,Stable,LC,NA,NA,NA,am,0,0
Fis-29731,NA,Beryx decadactylus,198578,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25455,NA,Borostomias antarcticus,198762,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22852,NA,Brama brama,195091,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22741,NA,Buenia jeffreysii,18159126,Unknown,LC,NA,NA,NA,am,0,NA
Fis-148858,NA,Bufoceratias wedli,18127809,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22742,LC,Buglossidium luteum,155044,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29313,NA,Callionymus lyra,198634,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29752,NA,Callionymus maculatus,198635,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22743,NA,Capros aper,198557,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27247,NA,Cataetyx bruuni,60469552,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33837,NA,Cataetyx laticeps,198623,Unknown,LC,NA,NA,NA,am,0,NA
Fis-53389,NA,Caulophryne jordani,190447,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50370,NA,Caulophryne polynema,190447,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22856,NA,Centrolophus niger,198571,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23078,LC,Centroscyllium fabricii,161521,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23074,LC,Centroscymnus crepidater,46864,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22746,NA,Cepola macrophthalma,198649,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50569,NA,Ceratias uranoscopus,21112879,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23087,NA,Ceratoscopelus maderensis,198612,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50837,NA,Cetonurus globiceps,15522073,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29801,NA,Chauliodus sloani,190324,Unknown,LC,NA,NA,NA,am,0,NA
Fis-3310,NA,Chelidonichthys lucerna,198752,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23954,LC,Chelon labrosus,135689,Unknown,LC,NA,NA,NA,am,0,NA
Fis-148964,NA,Chlorophthalmus atlanticus,194993,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23439,NA,Ciliata mustela,18125362,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23440,NA,Ciliata septentrionalis,18125379,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25392,NA,Citharus linguatula,198726,Stable,LC,NA,NA,NA,am,0,0
Fis-29344,LC,Clupea harengus,155123,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-22866,NA,Conger conger,194969,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-48198,LC,Coregonus autumnalis,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-29858,LC,Coregonus sardinella,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-25475,NA,Coryphaenoides armatus,18125776,Unknown,LC,NA,NA,NA,am,0,NA
Fis-26887,NA,Coryphaenoides guentheri,198594,Unknown,LC,NA,NA,NA,am,0,NA
Fis-47646,NA,Cottunculus thomsonii,190065,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29877,NA,Cryptopsaras couesii,190067,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22751,NA,Crystallogobius linearis,198654,Stable,LC,NA,NA,NA,am,0,0
Fis-23453,NA,Cubiceps gracilis,198676,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31240,NA,Cyclothone acclinidens,18252612,Stable,LC,NA,NA,NA,am,0,0
Fis-52356,NA,Cyclothone alba,190300,Stable,LC,NA,NA,NA,am,0,0
