"","species","pop_cat","ohi_present","group","n_cat"
"1520","Cylichna magna",NA,"Y",NA,NA
"1521","Scabrotrophon fabricii",NA,"Y",NA,NA
"1522","Galiteuthis armata","LC","Y",NA,NA
"1523","Rossia palpebrosa","LC","Y",NA,NA
"1524","Illex illecebrosus","LC","Y",NA,NA
"1525","Grimpoteuthis wuelkeri","DD","Y",NA,NA
"1526","Gonatus fabricii","LC","Y","Mollusca","LC"
"1527","Stauroteuthis syrtensis","DD","Y",NA,NA
"1528","Cuthona gymnota",NA,"Y","Mollusca","LC"
"1529","Flabellina verrucosa",NA,"Y","Mollusca","LC"
"1530","Macoma loveni",NA,"Y",NA,NA
"1531","Rossia moelleri","LC","Y",NA,NA
"1532","Tachyrhynchus reticulatus",NA,"Y",NA,NA
"1533","Flabellina gracilis",NA,"Y","Mollusca","LC"
"1534","Flabellina nobilis",NA,"Y","Mollusca","LC"
"1535","Flabellina salmonacea",NA,"Y","Mollusca","LC"
"1536","Astarte castanea",NA,"Y",NA,NA
"1537","Astarte undata",NA,"Y",NA,NA
"1538","Crenella glandula",NA,"Y",NA,NA
"1539","Lucinoma filosa",NA,"Y",NA,NA
"1540","Clinocardium ciliatum",NA,"Y",NA,NA
"1541","Mysella triquetra",NA,"Y",NA,NA
"1542","Nucula delphinodonta",NA,"Y",NA,NA
"1543","Nucula proxima",NA,"Y",NA,NA
"1544","Nuculana tenuisulcata",NA,"Y",NA,NA
"1545","Pitar morrhuanus",NA,"Y",NA,NA
"1546","Solemya grandis",NA,"Y",NA,NA
"1547","Solemya velum",NA,"Y",NA,NA
"1548","Yoldia limatula",NA,"Y",NA,NA
"1549","Yoldia sapotilla",NA,"Y",NA,NA
"1550","Graneledone verrucosa",NA,"Y",NA,NA
"1551","Pyroteuthis margaritifera","LC","Y",NA,NA
"1552","Limneria undata",NA,"Y",NA,NA
"1553","Cylichna gouldii",NA,"Y",NA,NA
"1554","Buccinum sericatum",NA,"Y",NA,NA
"1555","Buccinum finmarkianum",NA,"Y",NA,NA
"1556","Curtitoma violacea",NA,"Y",NA,NA
"1557","Pleurobranchus areolatus",NA,"Y",NA,NA
"1558","Ommastrephes bartramii","LC","Y",NA,NA
"1559","Cranchia scabra","LC","Y",NA,NA
"1560","Tachyrhynchus erosus",NA,"Y",NA,NA
"1561","Arca imbricata",NA,"Y",NA,NA
"1562","Thuridilla picta",NA,"Y",NA,NA
"1563","Lithophaga aristata",NA,"Y",NA,NA
"1564","Ruditapes decussatus",NA,"Y","Mollusca","LC"
"1565","Cyrtodaria kurriana",NA,"Y",NA,NA
"1566","Cryptochiton stelleri",NA,"Y",NA,NA
"1567","Pyrulofusus deformis",NA,"Y",NA,NA
"1568","Chlamys rubida",NA,"Y",NA,NA
"1569","Liocranchia reinhardti","LC","Y",NA,NA
"1570","Cirroteuthis muelleri","LC","Y",NA,NA
"1571","Hyaloteuthis pelagica","LC","Y",NA,NA
"1572","Sandalops melancholicus","DD","Y",NA,NA
"1573","Chlamys hastata",NA,"Y",NA,NA
"1574","Doridoxa ingolfiana",NA,"Y","Mollusca","NE"
"1575","Acanthocardia tuberculata",NA,"Y",NA,NA
"1576","Cyclopecten reticulus",NA,"Y",NA,NA
"1577","Delectopecten vancouverensis",NA,"Y",NA,NA
"1578","Brachidontes exustus",NA,"Y",NA,NA
"1579","Loligo forbesii",NA,"Y",NA,NA
"1580","Nucula crenulata",NA,"Y",NA,NA
"1581","Gregariella coralliophaga",NA,"Y",NA,NA
"1582","Modiolus americanus",NA,"Y",NA,NA
"1583","Musculus lateralis",NA,"Y",NA,NA
"1584","Arca zebra",NA,"Y",NA,NA
"1585","Limatula confusa",NA,"Y",NA,NA
"1586","Limatula hyalina",NA,"Y",NA,NA
"1587","Pododesmus rudis",NA,"Y",NA,NA
"1588","Pitar arestus",NA,"Y",NA,NA
"1589","Astarte esquimalti",NA,"Y",NA,NA
"1590","Haliotis rufescens",NA,"Y",NA,NA
"1591","Lucinoma annulata",NA,"Y",NA,NA
"1592","Modiolus rectus",NA,"Y",NA,NA
"1593","Lyonsia bracteata",NA,"Y",NA,NA
"1594","Xylophaga clenchi",NA,"Y",NA,NA
"1595","Doto pita",NA,"Y",NA,NA
"1596","Ostrea lurida",NA,"Y",NA,NA
"1597","Prochaetoderma californicum",NA,"Y",NA,NA
"1598","Dirona albolineata",NA,"Y",NA,NA
"1599","Tubulanus polymorphus",NA,"Y",NA,NA
"1600","Tetrastemma bicolor",NA,"Y",NA,NA
"1601","Pennatula phosphorea",NA,"Y","Anthozoa","LC"
"1602","Ophiomusium lymani",NA,"Y",NA,NA
"1603","Ophiura albida",NA,"Y",NA,NA
"1604","Ophiura ophiura",NA,"Y",NA,NA
"1605","Amphipholis squamata",NA,"Y",NA,NA
"1606","Amphiura filiformis",NA,"Y",NA,NA
"1607","Ophiopholis aculeata",NA,"Y",NA,NA
"1608","Ophiothrix fragilis",NA,"Y",NA,NA
"1609","Acrocnida brachiata",NA,"Y",NA,NA
"1610","Ophiura sarsi",NA,"Y",NA,NA
"1611","Phoronis hippocrepia",NA,"Y",NA,NA
"1612","Phoronis muelleri",NA,"Y",NA,NA
"1613","Phoronis ovalis",NA,"Y",NA,NA
"1614","Phoronis psammophila",NA,"Y",NA,NA
"1615","Siboglinum ekmani",NA,"Y",NA,NA
"1616","Ampharete petersenae",NA,"Y",NA,NA
"1617","Amphicteis gunneri",NA,"Y","Annelida","LC"
"1618","Arabella iricolor",NA,"Y",NA,NA
"1619","Capitella capitata",NA,"Y",NA,NA
"1620","Heteromastus filiformis",NA,"Y",NA,NA
"1621","Notomastus latericeus",NA,"Y",NA,NA
"1622","Aphelochaeta marioni",NA,"Y",NA,NA
"1623","Cirratulus cirratus",NA,"Y",NA,NA
"1624","Cossura longocirrata",NA,"Y",NA,NA
"1625","Marphysa bellii",NA,"Y","Annelida","LC"
"1626","Pherusa plumosa",NA,"Y","Annelida","LC"
"1627","Glycera capitata",NA,"Y","Annelida","LC"
"1628","Goniada maculata",NA,"Y","Annelida","LC"
"1629","Lumbrineris latreilli",NA,"Y",NA,NA
"1630","Maldane sarsi",NA,"Y",NA,NA
"1631","Aglaophamus malmgreni",NA,"Y","Annelida","LC"
"1632","Hyalinoecia tubicola",NA,"Y","Annelida","LC"
"1633","Nothria conchylega",NA,"Y","Annelida","LC"
"1634","Ophelina acuminata",NA,"Y","Annelida","LC"
"1635","Levinsenia gracilis",NA,"Y",NA,NA
"1636","Pholoe minuta",NA,"Y",NA,NA
"1637","Eulalia viridis",NA,"Y","Annelida","LC"
"1638","Chone duneri",NA,"Y",NA,NA
"1639","Scalibregma inflatum",NA,"Y",NA,NA
"1640","Josephella marenzelleri",NA,"Y",NA,NA
"1641","Serpula vermicularis",NA,"Y","Annelida","LC"
"1642","Dipolydora quadrilobata",NA,"Y",NA,NA
"1643","Laonice cirrata",NA,"Y",NA,NA
"1644","Polydora cornuta",NA,"Y",NA,NA
"1645","Spio filicornis",NA,"Y",NA,NA
"1646","Spiophanes kroyeri",NA,"Y",NA,NA
"1647","Eusyllis blomstrandi",NA,"Y",NA,NA
"1648","Syllis armillaris",NA,"Y",NA,NA
"1649","Loimia medusa",NA,"Y",NA,NA
"1650","Nicolea zostericola",NA,"Y","Annelida","LC"
"1651","Thelepus setosus",NA,"Y",NA,NA
"1652","Terebellides stroemii",NA,"Y",NA,NA
"1653","Trichobranchus glacialis",NA,"Y","Annelida","LC"
"1654","Syllis cornuta",NA,"Y",NA,NA
"1655","Typosyllis hyalina",NA,"Y",NA,NA
"1656","Salvatoria clavata",NA,"Y",NA,NA
"1657","Typosyllis cornuta",NA,"Y",NA,NA
"1658","Pseudexogone dineti",NA,"Y",NA,NA
"1659","Aphroceras ensata",NA,"Y",NA,NA
"1660","Leuconia nivea",NA,"Y",NA,NA
"1661","Leuconia pumila",NA,"Y",NA,NA
"1662","Spongia officinalis",NA,"Y",NA,NA
"1663","Bubaris vermiculata",NA,"Y","Porifera","LC"
"1664","Halichondria panicea",NA,"Y","Porifera","LC"
"1665","Phorbas fictitius",NA,"Y",NA,NA
"1666","Stelletta grubii",NA,"Y","Porifera","DD"
"1667","Pachymatisma johnstonia",NA,"Y",NA,NA
"1668","Dercitus bucklandi",NA,"Y",NA,NA
"1669","Cliona celata",NA,"Y","Porifera","LC"
"1670","Cliona lobata",NA,"Y","Porifera","DD"
"1671","Pseudosuberites montiniger",NA,"Y",NA,NA
"1672","Suberites carnosus",NA,"Y","Porifera","LC"
"1673","Tethya aurantium",NA,"Y",NA,NA
"1674","Amphilectus fucorum",NA,"Y",NA,NA
"1675","Leucetta primigenia",NA,"Y",NA,NA
"1676","Sarcotragus fasciculatus",NA,"Y",NA,NA
"1677","Leucosolenia macleayi",NA,"Y",NA,NA
"1678","Aplysilla sulfurea",NA,"Y",NA,NA
"1679","Haliclona simulans",NA,"Y",NA,NA
"1680","Priapulopsis bicaudatus",NA,"Y",NA,NA
"1681","Priapulus caudatus",NA,"Y",NA,NA
"1682","Fissidentalium candidum",NA,"Y",NA,NA
"1683","Fissidentalium capillosum",NA,"Y",NA,NA
"1684","Bathoxiphus ensiculus",NA,"Y",NA,NA
"1685","Entalina tetragona",NA,"Y","Mollusca","LC"
"1686","Cadulus artatus",NA,"Y",NA,NA
"1687","Cadulus gracilis",NA,"Y",NA,NA
"1688","Cadulus jeffreysi",NA,"Y","Mollusca","NE"
"1689","Cadulus propinquus",NA,"Y","Mollusca","LC"
"1690","Cadulus subfusiformis",NA,"Y",NA,NA
"1691","Siphonodentalium lobatum",NA,"Y","Mollusca","LC"
"1692","Pulsellum affine",NA,"Y","Mollusca","LC"
"1693","Pulsellum lofotense",NA,"Y","Mollusca","LC"
"1694","Antalis entalis",NA,"Y","Mollusca","LC"
"1695","Antalis agilis",NA,"Y","Mollusca","LC"
"1696","Antalis occidentalis",NA,"Y","Mollusca","LC"
"1697","Antalis vulgaris",NA,"Y",NA,NA
"1698","Heteroschismoides subterfissus",NA,"Y",NA,NA
"1699","Pulsellum lobatum",NA,"Y",NA,NA
"1700","Apseudes grossimanus",NA,"Y",NA,NA
"1701","Apseudes spinosus",NA,"Y",NA,NA
"1702","Apseudes talpa",NA,"Y",NA,NA
"1703","Sphyrapus malleolus",NA,"Y",NA,NA
"1704","Araphura brevimanus",NA,"Y",NA,NA
"1705","Agathotanais ingolfi",NA,"Y",NA,NA
"1706","Anarthrura simplex",NA,"Y",NA,NA
"1707","Leptognathia breviremis",NA,"Y",NA,NA
"1708","Leptognathia manca",NA,"Y",NA,NA
"1709","Pseudoparatanais batei",NA,"Y",NA,NA
"1710","Leptochelia savignyi",NA,"Y",NA,NA
"1711","Tanais dulongii",NA,"Y",NA,NA
"1712","Typhlotanais brevicornis",NA,"Y",NA,NA
"1713","Paratyphlotanais microcheles",NA,"Y",NA,NA
"1714","Typhlotanais aequiremis",NA,"Y",NA,NA
"1715","Typhlotanais tenuicornis",NA,"Y",NA,NA
"1716","Typhlotanais pulcher",NA,"Y",NA,NA
"1717","Pseudotanais forcipatus",NA,"Y",NA,NA
