"","species","pop_cat","ohi_present","group","n_cat"
"350","Zeus faber","DD","Y","Fishes",NA
"351","Artediellus atlanticus",NA,"Y","Fishes","LC"
"352","Artediellus scaber",NA,"Y",NA,NA
"353","Aspidophoroides olrikii",NA,"Y","Fishes",NA
"354","Eumicrotremus derjugini",NA,"Y","Fishes","LC"
"355","Hippoglossoides robustus",NA,"Y",NA,NA
"356","Icelus spatula",NA,"Y","Fishes","NE"
"357","Liparis gibbus",NA,"Y",NA,NA
"358","Liparis tunicatus",NA,"Y","Fishes","LC"
"359","Triglops murrayi",NA,"Y","Fishes","LC"
"360","Triglops nybelini",NA,"Y","Fishes","LC"
"361","Rondeletia loricata","LC","Y",NA,NA
"362","Barbourisia rufa","LC","Y",NA,NA
"363","Raja montagui","LC","Y","Fishes",NA
"364","Eurypharynx pelecanoides","LC","Y",NA,NA
"365","Ceratias holboelli","LC","Y",NA,NA
"366","Dibranchus atlanticus","LC","Y",NA,NA
"367","Diretmus argenteus","LC","Y",NA,NA
"368","Hoplostethus mediterraneus","LC","Y",NA,NA
"369","Trachinus radiatus","LC","Y",NA,NA
"370","Harriotta raleighana","LC","Y",NA,NA
"371","Alepocephalus rostratus","LC","Y",NA,NA
"372","Searsia koefoedi","LC","Y",NA,NA
"373","Ectreposebastes imus","LC","Y",NA,NA
"374","Cyclothone acclinidens","LC","Y",NA,NA
"375","Mustelus asterias","LC","Y","Fishes",NA
"376","Scophthalmus maximus",NA,"Y","Fishes","LC"
"377","Labrus mixtus","LC","Y","Fishes","LC"
"378","Cyclothone pallida","LC","Y",NA,NA
"379","Cyclothone pseudopallida","LC","Y",NA,NA
"380","Trigonolampa miriceps","LC","Y",NA,NA
"381","Lampanyctus intricarius","LC","Y",NA,NA
"382","Derichthys serpentinus","LC","Y",NA,NA
"383","Nesiarchus nasutus","LC","Y","Fishes",NA
"384","Bathygadus favosus","LC","Y",NA,NA
"385","Myxine ios","LC","Y",NA,NA
"386","Brotulotaenia crassa",NA,"Y",NA,NA
"387","Chelidonichthys lucerna","LC","Y","Fishes","LC"
"388","Lamprogrammus niger","LC","Y",NA,NA
"389","Luciobrotula corethromycter","LC","Y",NA,NA
"390","Xyelacyba myersi",NA,"Y",NA,NA
"391","Thalassobathia pelagica","LC","Y",NA,NA
"392","Rhinochimaera atlantica","LC","Y",NA,NA
"393","Aphyonus gelatinosus","LC","Y",NA,NA
"394","Halosaurus guentheri","LC","Y",NA,NA
"395","Cetomimus gillii","DD","Y",NA,NA
"396","Cetomimus hempeli","DD","Y",NA,NA
"397","Melamphaes longivelis","DD","Y",NA,NA
"398","Synaphobranchus kaupii","LC","Y",NA,NA
"399","Cyema atrum","LC","Y",NA,NA
"400","Luciosudis normani","LC","Y",NA,NA
"401","Alepocephalus agassizii","LC","Y",NA,NA
"402","Cottunculus microps",NA,"Y","Fishes","LC"
"403","Asquamiceps velaris",NA,"Y",NA,NA
"404","Maulisia mauli","LC","Y",NA,NA
"405","Malacosteus niger","LC","Y",NA,NA
"406","Polyipnus polli","LC","Y",NA,NA
"407","Odontomacrurus murrayi","LC","Y",NA,NA
"408","Diceratias pileatus","LC","Y",NA,NA
"409","Cataetyx laticeps","LC","Y",NA,NA
"410","Gadiculus thori",NA,"Y",NA,NA
"411","Photostylus pycnopterus","LC","Y",NA,NA
"412","Holtbyrnia anomala","LC","Y",NA,NA
"413","Holtbyrnia macrops","LC","Y",NA,NA
"414","Platytroctes apus","LC","Y",NA,NA
"415","Argyropelecus lychnus",NA,"Y",NA,NA
"416","Astronesthes gemmifer","DD","Y",NA,NA
"417","Eustomias dendriticus",NA,"Y",NA,NA
"418","Melanostomias niger",NA,"Y",NA,NA
"419","Howella brodiei","LC","Y","Fishes",NA
"420","Bathylagus euryops",NA,"Y",NA,NA
"421","Bathysaurus ferox","LC","Y",NA,NA
"422","Lycodes squamiventer",NA,"Y","Fishes","LC"
"423","Lycodes frigidus",NA,"Y","Fishes","LC"
"424","Lycenchelys kolthoffi",NA,"Y","Fishes","LC"
"425","Lycenchelys muraena",NA,"Y","Fishes","LC"
"426","Cottunculus sadko",NA,"Y",NA,NA
"427","Liparis fabricii",NA,"Y","Fishes","LC"
"428","Careproctus micropus",NA,"Y","Fishes","NE"
"429","Paraliparis bathybius",NA,"Y","Fishes","LC"
"430","Paraliparis hystrix","DD","Y",NA,NA
