Year,species,biomass,scenario
2027,Large Demersals,71966.24252,Strict Conservation
2028,Large Demersals,71862.17282,Strict Conservation
2029,Large Demersals,71860.76502,Strict Conservation
2030,Large Demersals,71701.75081,Strict Conservation
2031,Large Demersals,71357.99489,Strict Conservation
2032,Large Demersals,71157.17118,Strict Conservation
2033,Large Demersals,71268.63526,Strict Conservation
2034,Large Demersals,71118.77712,Strict Conservation
2035,Large Demersals,70722.34915,Strict Conservation
2036,Large Demersals,70517.50953,Strict Conservation
2037,Large Demersals,70484.31873,Strict Conservation
2038,Large Demersals,70346.35997,Strict Conservation
2039,Large Demersals,70189.4113,Strict Conservation
2040,Large Demersals,70017.18061,Strict Conservation
2041,Large Demersals,69784.87379,Strict Conservation
2042,Large Demersals,69788.20101,Strict Conservation
2043,Large Demersals,69688.35764,Strict Conservation
2044,Large Demersals,69719.64533,Strict Conservation
2045,Large Demersals,69630.30498,Strict Conservation
2046,Large Demersals,69823.84317,Strict Conservation
2047,Large Demersals,70053.69526,Strict Conservation
2048,Large Demersals,70244.75665,Strict Conservation
2049,Large Demersals,70048.42788,Strict Conservation
2050,Large Demersals,69820.40826,Strict Conservation
2051,Large Demersals,69626.40607,Strict Conservation
2052,Large Demersals,69638.94102,Strict Conservation
2053,Large Demersals,69526.72101,Strict Conservation
2054,Large Demersals,69382.52866,Strict Conservation
2055,Large Demersals,69509.71481,Strict Conservation
2056,Large Demersals,69601.5491,Strict Conservation
2057,Large Demersals,69409.44822,Strict Conservation
2058,Large Demersals,69422.08064,Strict Conservation
2059,Large Demersals,69376.74037,Strict Conservation
2060,Large Demersals,69399.1409,Strict Conservation
2061,Large Demersals,69432.61044,Strict Conservation
2062,Large Demersals,69527.31009,Strict Conservation
2063,Large Demersals,69635.8404,Strict Conservation
2064,Large Demersals,69659.45463,Strict Conservation
2065,Large Demersals,69446.46279,Strict Conservation
2066,Large Demersals,69299.8104,Strict Conservation
2067,Large Demersals,69108.31016,Strict Conservation
2068,Large Demersals,68906.40029,Strict Conservation
2015,Flatfish,84916.86033,Strict Conservation
2016,Flatfish,85200.97855,Strict Conservation
2017,Flatfish,84770.77522,Strict Conservation
2018,Flatfish,84091.45737,Strict Conservation
2019,Flatfish,83090.36971,Strict Conservation
2020,Flatfish,82637.21551,Strict Conservation
2021,Flatfish,82553.0455,Strict Conservation
2022,Flatfish,81969.86663,Strict Conservation
2023,Flatfish,81218.19595,Strict Conservation
2024,Flatfish,80759.33467,Strict Conservation
2025,Flatfish,80616.53621,Strict Conservation
2026,Flatfish,80698.36002,Strict Conservation
2027,Flatfish,80919.05179,Strict Conservation
2028,Flatfish,81376.50762,Strict Conservation
2029,Flatfish,81728.52604,Strict Conservation
2030,Flatfish,81682.06908,Strict Conservation
2031,Flatfish,81142.09571,Strict Conservation
2032,Flatfish,81069.06814,Strict Conservation
2033,Flatfish,81296.0317,Strict Conservation
2034,Flatfish,80779.95536,Strict Conservation
2035,Flatfish,80345.3582,Strict Conservation
2036,Flatfish,80154.91702,Strict Conservation
2037,Flatfish,80437.29625,Strict Conservation
2038,Flatfish,80641.90831,Strict Conservation
2039,Flatfish,80783.12666,Strict Conservation
2040,Flatfish,80506.14782,Strict Conservation
2041,Flatfish,80234.37843,Strict Conservation
2042,Flatfish,80076.72982,Strict Conservation
2043,Flatfish,79846.43196,Strict Conservation
2044,Flatfish,79559.24407,Strict Conservation
2045,Flatfish,79378.26618,Strict Conservation
2046,Flatfish,79667.88988,Strict Conservation
2047,Flatfish,79754.95109,Strict Conservation
2048,Flatfish,79832.73067,Strict Conservation
2049,Flatfish,80066.7762,Strict Conservation
2050,Flatfish,80381.27252,Strict Conservation
2051,Flatfish,80303.38245,Strict Conservation
2052,Flatfish,80535.66423,Strict Conservation
2053,Flatfish,80603.77865,Strict Conservation
2054,Flatfish,80225.22862,Strict Conservation
2055,Flatfish,80396.72338,Strict Conservation
2056,Flatfish,80296.89186,Strict Conservation
2057,Flatfish,79809.48112,Strict Conservation
