rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Barents Sea,12e3,1,1805:219:4,443.54
1,Barents Sea,12001,1,1806:110:3,443.54
1,Barents Sea,12002,1,1806:110:4,443.54
1,Barents Sea,12003,1,1806:111:3,443.54
1,Barents Sea,12004,1,1806:111:4,443.54
1,Barents Sea,12005,1,1806:112:3,443.54
1,Barents Sea,12006,1,1806:112:4,443.54
1,Barents Sea,12007,1,1806:113:3,443.54
1,Barents Sea,12008,1,1806:113:4,443.54
1,Barents Sea,12009,1,1806:114:3,443.54
1,Barents Sea,12010,1,1806:114:4,443.54
1,Barents Sea,12011,0.99,1806:215:3,443.54
1,Barents Sea,12012,0.9,1806:215:4,443.54
1,Barents Sea,12013,0.9,1806:216:3,443.54
1,Barents Sea,12014,0.82,1806:216:4,443.54
1,Barents Sea,12015,0.8,1806:217:3,443.54
1,Barents Sea,12016,0.8,1806:217:4,443.54
1,Barents Sea,12017,0.74,1806:218:3,443.54
1,Barents Sea,12018,0.7,1806:218:4,443.54
1,Barents Sea,12019,0.12,1806:219:3,443.54
1,Barents Sea,12602,0.03,1800:110:2,470.22
1,Barents Sea,12603,0.28,1800:111:1,470.22
1,Barents Sea,12604,0.56,1800:111:2,470.22
1,Barents Sea,12605,0.83,1800:112:1,470.22
1,Barents Sea,12606,1,1800:112:2,470.22
1,Barents Sea,12607,1,1800:113:1,470.22
1,Barents Sea,12608,1,1800:113:2,470.22
1,Barents Sea,12609,1,1800:114:1,470.22
1,Barents Sea,12610,1,1800:114:2,470.22
1,Barents Sea,12611,1,1800:215:1,470.22
1,Barents Sea,12612,1,1800:215:2,470.22
1,Barents Sea,12613,1,1800:216:1,470.22
1,Barents Sea,12614,1,1800:216:2,470.22
1,Barents Sea,12615,1,1800:217:1,470.22
1,Barents Sea,12616,1,1800:217:2,470.22
1,Barents Sea,12617,1,1800:218:1,470.22
1,Barents Sea,12618,1,1800:218:2,470.22
1,Barents Sea,12619,1,1800:219:1,470.22
1,Barents Sea,12620,1,1800:219:2,470.22
1,Barents Sea,12621,1,1801:110:1,470.22
1,Barents Sea,12622,1,1801:110:2,470.22
1,Barents Sea,12623,1,1801:111:1,470.22
1,Barents Sea,12624,1,1801:111:2,470.22
1,Barents Sea,12625,1,1801:112:1,470.22
1,Barents Sea,12626,1,1801:112:2,470.22
1,Barents Sea,12627,1,1801:113:1,470.22
1,Barents Sea,12628,1,1801:113:2,470.22
1,Barents Sea,12629,1,1801:114:1,470.22
1,Barents Sea,12630,1,1801:114:2,470.22
1,Barents Sea,12631,1,1801:215:1,470.22
1,Barents Sea,12632,1,1801:215:2,470.22
1,Barents Sea,12633,1,1801:216:1,470.22
1,Barents Sea,12634,1,1801:216:2,470.22
1,Barents Sea,12635,1,1801:217:1,470.22
1,Barents Sea,12636,1,1801:217:2,470.22
1,Barents Sea,12637,1,1801:218:1,470.22
1,Barents Sea,12638,1,1801:218:2,470.22
1,Barents Sea,12639,1,1801:219:1,470.22
1,Barents Sea,12640,1,1801:219:2,470.22
