"Year","total_catch","scenario","total_biomass_landings","inversepressure"
2017,2267451.22379,"fmsy1",38641658.26428,17.0418917323792
2018,2160012.14546,"fmsy1",37466519.14743,17.3455131843488
2019,2036693.4901,"fmsy1",36736965.13556,18.0375521963083
2020,1948557.35476,"fmsy1",36236887.71792,18.59677757465
2021,1931052.65591,"fmsy1",32673572.13124,16.9200834742866
2022,1889498.88909,"fmsy1",33191727.0878,17.5664178896583
2023,1880957.09445,"fmsy1",36491507.5175,19.4004996845344
2024,1865786.98354,"fmsy1",37162528.05506,19.917883650657
2025,1834856.97814,"fmsy1",38015545.23071,20.7185332064663
2026,1799644.80475,"fmsy1",38750361.81751,21.5322277569618
2027,1752359.12323,"fmsy1",39589073.5065,22.591872283307
2028,1809171.42707,"fmsy1",39291705.28785,21.7180664584582
2029,1820867.78378,"fmsy1",44908301.97386,24.6631317078022
2030,1866676.78976,"fmsy1",47761114.0462,25.5861723401729
2031,1845549.89104,"fmsy1",45236316.0918,24.5110231435188
2032,1835032.88611,"fmsy1",46755374.2825,25.4793113716967
2033,1829521.41581,"fmsy1",49472356.7606,27.041146571491
2034,1819806.21164,"fmsy1",53799150.0505,29.563120351159
2035,1847627.83532,"fmsy1",49634765.5059,26.8640494352065
2036,1819807.12821,"fmsy1",57261309.973,31.4655927462618
2037,1834115.7544,"fmsy1",53594803.7694,29.2210585077999
2038,1803546.96172,"fmsy1",55473147.5747,30.7578060078882
2039,1828718.80534,"fmsy1",59040913.5141,32.2853974824866
2040,1839488.06009,"fmsy1",62468330.5539,33.9596281754847
2041,1873839.26207,"fmsy1",67177665.6914,35.8502818524519
2042,1904318.72182,"fmsy1",66168397.5162,34.7464931988703
2043,1912668.72953,"fmsy1",69889790.823,36.5404577091476
2044,1943491.34557,"fmsy1",76973330.7732,39.6056977298372
2045,1999950.16319,"fmsy1",76411594.2999,38.2067492012003
2046,2011451.17171,"fmsy1",73154626.2879,36.3690788604671
2047,1983974.62342,"fmsy1",73681925.12179,37.1385421224674
2048,1974770.06372,"fmsy1",76358660.68921,38.6671147654367
2049,2000227.82118,"fmsy1",72083089.3827,36.0374396453379
2050,2004031.7807,"fmsy1",78803947.6805,39.322703581564
2051,2095626.30636,"fmsy1",80360511.8243,38.3467756538532
2052,2094955.40017,"fmsy1",80926431.4658,38.6291906067466
2053,2122150.35485,"fmsy1",77542579.8785,36.5396258098691
2054,2095457.9879,"fmsy1",79545944.095,37.9611257082364
2055,2108506.87371,"fmsy1",83793706.7101,39.7407794847079
2056,2163623.6065,"fmsy1",80850251.8699,37.3679837967233
2057,2110098.25227,"fmsy1",92740651.1839,43.9508686783336
2058,2271221.78864,"fmsy1",83811834.6758,36.9016513908958
2059,2159046.6511,"fmsy1",83881562.925,38.8512044805811
2060,2147992.34464,"fmsy1",95045070.5832,44.2483283613049
2061,2230107.10847,"fmsy1",76057574.7292,34.1048976707583
2062,2022500.22556,"fmsy1",77299400.5278,38.2197240578289
2063,2113983.40239,"fmsy1",84777975.2702,40.1034252087092
2064,2201636.18765,"fmsy1",81552780.3692,37.0418967614483
2065,2213425.51221,"fmsy1",85189701.2272,38.487719942354
2066,2286439.27093,"fmsy1",82349643.3984,36.016545221822
2067,2299110.45532,"fmsy1",108297050.595,47.1038920050176
2068,2598451.89124,"fmsy1",88926444.6431,34.2228559023518
2015,1630017.7119,"fmsy11",41259956.16158,25.3125814893668
2016,2607079.08381,"fmsy11",38894210.88487,14.9186923888898
2017,2422901.6215,"fmsy11",38053461.90716,15.7057395849202
2018,2277413.7967,"fmsy11",36718243.21932,16.1227807052566
2019,2124257.62808,"fmsy11",35867627.50884,16.8847822574415
2020,2014427.60203,"fmsy11",35278750.5738,17.5130397033125
2021,1984806.2585,"fmsy11",31620743.96804,15.9314007765862
2022,1932028.73201,"fmsy11",32093431.91962,16.611260168078
2023,1916438.82401,"fmsy11",35396938.83273,18.4701637168176
2024,1894670.12169,"fmsy11",35922519.71324,18.959775267474
2025,1855684.57775,"fmsy11",36527143.31068,19.6839181338505
2026,1815416.60705,"fmsy11",37404030.88268,20.6035522300639
2027,1758969.38707,"fmsy11",37658388.25564,21.4093482993296
2028,1773111.71394,"fmsy11",37713773.3424,21.2698235795853
2029,1774693.37261,"fmsy11",43510063.39838,24.5169470230177
2030,1803346.58738,"fmsy11",45616085.68842,25.2952405309362
2031,1766904.54609,"fmsy11",42773766.42169,24.208306281369
2032,1763672.52716,"fmsy11",44093698.51781,25.0010689846221
2033,1775214.86281,"fmsy11",47967992.10356,27.0209500317224
2034,1772633.11681,"fmsy11",52999419.79459,29.898696629321
2035,1822471.70066,"fmsy11",46338980.64213,25.4264472942699
2036,1776182.27955,"fmsy11",52599106.4758,29.6135746209145
2037,1796246.86245,"fmsy11",51941201.12084,28.916515990455
2038,1785709.66085,"fmsy11",53873525.22378,30.1692522613873
2039,1817211.09579,"fmsy11",59245071.12434,32.60219534296
2040,1865938.60295,"fmsy11",61880065.51623,33.1629697881802
2041,1891861.0676,"fmsy11",65652160.2218,34.7024215182386
2042,1912506.17275,"fmsy11",63175324.12519,33.0327425999101
2043,1903760.72419,"fmsy11",67003185.36365,35.1951715949798
2044,1974882.21391,"fmsy11",70744184.95482,35.821976853372
2045,2002994.36172,"fmsy11",71424338.22986,35.6587814698225
2046,2038970.91944,"fmsy11",70658222.69893,34.6538648615627
2047,2040881.82671,"fmsy11",72726951.71721,35.6350626309654
2048,2043585.712,"fmsy11",74605951.66293,36.5073758467
2049,2050173.06842,"fmsy11",73850959.03926,36.0218169757612
2050,2067972.15095,"fmsy11",76396389.3406,36.9426586840178
2051,2108786.77714,"fmsy11",77319715.3112,36.6654970286106
2052,2099843.58415,"fmsy11",77612357.44216,36.9610184434651
2053,2129470.6136,"fmsy11",74126625.85016,34.809884380064
2054,2085884.64841,"fmsy11",82170576.85322,39.3936342145554
2055,2183136.11401,"fmsy11",76752877.38308,35.1571653689058
2056,2120106.88812,"fmsy11",83775540.5302,39.514772108725
2057,2183316.98542,"fmsy11",76332523.56083,34.9617229520825
2058,2107689.4242,"fmsy11",89031515.90636,42.2412879640239
2059,2227053.05024,"fmsy11",74850579.16031,33.6096974215516
2060,2078248.0781,"fmsy11",70932681.88969,34.1309984294747
2061,2038653.65011,"fmsy11",91485875.76525,44.8756343483424
2062,2327309.81633,"fmsy11",77813434.33904,33.4349272250079
2063,2136063.03515,"fmsy11",93087647.49648,43.5790732598596
2064,2250107.17842,"fmsy11",76985446.71547,34.214124310971
2065,2121230.86739,"fmsy11",74252308.61312,35.0043504243748
2066,2207278.33586,"fmsy11",100461251.3403,45.5136308403798
2067,2574872.29494,"fmsy11",89526622.40078,34.7693447075853
2068,2423277.74648,"fmsy11",79917402.07411,32.9790516956615
