sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
23,4,Hydrobates leucorhous,Seabirds,Leech's storm petrol,1,VU,1,13,0
24,4,Gelochelidon nilotica,Seabirds,Gull-billed tern,1,LC,1,11.7,0
25,4,Gavia stellata,Seabirds,Red throated loon,1,LC,1,9.8,0
26,4,Rissa tridactyla,Seabirds,Kittiwake,1,LC,1,12.9,1
27,4,Larus argentatus,Seabirds,Herring gull,1,LC,1,13,1
28,4,Ardenna grisea,Seabirds,Sooty shearwater,1,NT,1,21.2,0
29,4,Morus bassanus,Seabirds,Gannet,1,LC,1,20.7,1
30,4,Larus fuscus,Seabirds,Lesser black backed gull,1,LC,1,13.9,1
31,4,Larus hyperboreus,Seabirds,Glaucous gull,1,LC,1,12.4,0
32,4,Puffinus puffinus,Seabirds,Manx shearwater,1,LC,1,16.5,0
33,4,Sternula albifrons,Seabirds,Little tern,1,LC,1,10.9,0
34,4,Alca torda,Seabirds,Razorbill,1,NT,1,13.6,1
35,4,Fratercula arctica,Seabirds,Puffin,1,VU,1,21.6,1
36,4,Vanellus vanellus,Seabirds,Northern lapwing,1,NT,1,9,0
37,4,Somateria mollissima,Seabirds,Common eider,1,NT,1,9,0
38,4,Sterna hirundo,Seabirds,Common tern,1,LC,1,11.5,0
39,4,Uria aalge,Seabirds,Guillemot,1,LC,1,15.1,1
40,4,Phalacrocorax aristotelis,Seabirds,Shag,1,LC,1,8.8,1
41,4,Puffinus mauretanicus,Seabirds,Balearic shearwater,1,CR,1,18,0
42,4,Stercorarius pomarinus,Seabirds,Pomarine jaeger,1,LC,1,13.5,0
43,4,Alle alle,Seabirds,Little auk,1,LC,1,15,0
44,4,Tringa totanus,Seabirds,Common redshank,1,LC,1,6.2,0
45,4,Larus michahellis,Seabirds,Yellow-legged gull,1,LC,0,11.5,0
46,4,Tachybaptus ruficollis,Seabirds,Little grebe,1,LC,1,5.4,0
47,4,Ardenna gravis,Seabirds,Great shearwater,1,LC,1,18.3,0
48,4,Cepphus grylle,Seabirds,Black guillemot,1,LC,1,10.9,0
49,4,Hydrocoloeus minutus,Seabirds,Little gull,1,LC,1,10.5,0
50,4,Larus ridibundus,Seabirds,Black-headed gull,1,LC,1,9.6,0
