Num,Species,Gen_len
548,Diomedea antipodensis,27.41181818
549,Diomedea amsterdamensis,27.18181818
550,Diomedea dabbenena,28.74761905
551,Diomedea sanfordi,27.04761905
552,Diomedea epomophora,42.33333333
553,Phoebetria fusca,30
554,Phoebetria palpebrata,44.03703704
555,Thalassarche melanophrys,21.5
556,Thalassarche impavida,28.18181818
557,Thalassarche cauta,23.13445378
558,Thalassarche steadi,23.13445378
559,Thalassarche eremita,21.70588235
560,Thalassarche salvini,23.13445378
561,Thalassarche chrysostoma,30
562,Thalassarche chlororhynchos,23.70588235
563,Thalassarche carteri,23.70588235
564,Thalassarche bulleri,16.49425287
565,Macronectes giganteus,21.28571429
566,Macronectes halli,17
567,Fulmarus glacialoides,23.33333333
568,Fulmarus glacialis,30.72222222
569,Thalassoica antarctica,15
570,Daption capense,23.18181818
571,Pagodroma nivea,23.18181818
572,Halobaena caerulea,11.65
573,Pachyptila vittata,11.65
574,Pachyptila salvini,11.65
575,Pachyptila desolata,11.25
576,Pachyptila belcheri,12.95
577,Pachyptila turtur,10.75
578,Pachyptila crassirostris,11.65
579,Lugensa brevirostris,17.72790698
580,Pterodroma rupinarum,15.6340026
581,Pterodroma baraui,15.61755952
582,Pterodroma arminjoniana,15.61755952
583,Pterodroma externa,15.61755952
584,Pterodroma neglecta,15.61755952
585,Pterodroma phaeopygia,19.78571429
586,Pterodroma sandwichensis,19.78571429
587,Pterodroma atrata,15.61755952
588,Pterodroma heraldica,15.61755952
589,Pterodroma alba,15.61755952
590,Pterodroma feae,14.52380952
591,Pterodroma madeira,14.52380952
592,Pterodroma mollis,15.61755952
593,Pterodroma cahow,15.61755952
594,Pterodroma hasitata,15.61755952
595,Pterodroma caribbaea,15.61755952
596,Pterodroma incerta,15.61755952
597,Pterodroma lessonii,12.64285714
598,Pterodroma magentae,19.52380952
599,Pterodroma macroptera,13.64285714
600,Pterodroma solandri,15.61755952
601,Pterodroma ultima,15.61755952
602,Pterodroma inexpectata,15.61755952
603,Pterodroma pycrofti,11.03808333
604,Pterodroma longirostris,15.61755952
605,Pterodroma brevipes,15.61755952
606,Pterodroma leucoptera,15.61755952
607,Pterodroma cookii,15.61755952
608,Pterodroma defilippiana,15.61755952
609,Pterodroma hypoleuca,15.61755952
610,Pterodroma cervicalis,15.61755952
611,Pterodroma nigripennis,15.61755952
612,Pterodroma axillaris,15.61755952
613,Pseudobulweria macgillivrayi,17.72165698
614,Pseudobulweria rostrata,17.72165698
615,Pseudobulweria becki,17.72165698
616,Pseudobulweria aterrima,17.72165698
617,Procellaria aequinoctialis,24.68181818
618,Procellaria conspicillata,25.90277778
619,Procellaria westlandica,30.18181818
620,Procellaria parkinsoni,23.66666667
621,Procellaria cinerea,25.18181818
622,Calonectris diomedea,19.27819277
623,Calonectris edwardsii,19.27819277
624,Calonectris leucomelas,19.27819277
625,Puffinus pacificus,16.5
626,Puffinus bulleri,18.27272727
627,Puffinus carneipes,18.27272727
628,Puffinus creatopus,18.27272727
629,Puffinus gravis,18.27272727
630,Puffinus griseus,21.15151515
631,Puffinus tenuirostris,18.5
632,Puffinus nativitatis,18.27272727
633,Puffinus puffinus,16.52631579
634,Puffinus yelkouan,18.5
635,Puffinus mauretanicus,18.5
636,Puffinus auricularis,18
637,Puffinus newelli,15.5
638,Puffinus opisthomelas,18.27272727
639,Puffinus gavia,18.27272727
640,Puffinus huttoni,19.49275362
641,Puffinus lherminieri,22.28571429
642,Puffinus heinrothi,18.27272727
643,Puffinus assimilis,18
644,Bulweria bifax,23.86792453
645,Bulweria bulwerii,23.86792453
646,Bulweria fallax,23.86792453
647,Oceanites oceanicus,15.61111111
648,Oceanites gracilis,15.61111111
649,Oceanites maorianus,15.61111111
650,Garrodia nereis,15.22336066
651,Pelagodroma marina,15.44836066
652,Fregetta tropica,15.22336066
653,Fregetta grallaria,15.22336066
654,Nesofregetta fuliginosa,15.22336066
655,Hydrobates pelagicus,15.72916667
656,Oceanodroma tethys,14.5625
657,Oceanodroma castro,19.08333333
658,Oceanodroma monteiroi,14.80957602
659,Oceanodroma monorhis,14.5625
660,Oceanodroma leucorhoa,13.00657895
661,Oceanodroma macrodactyla,14.5625
662,Oceanodroma markhami,14.5625
663,Oceanodroma tristrami,14.5625
664,Oceanodroma melania,14.5625
665,Oceanodroma matsudairae,14.5625
666,Oceanodroma homochroa,14.5625
667,Oceanodroma hornbyi,14.5625
668,Oceanodroma furcata,14.5625
669,Halocyptena microsoma,15.22336066
670,Pelecanoides garnotii,11.72652439
671,Pelecanoides magellani,11.72652439
672,Pelecanoides georgicus,11.37272727
673,Pelecanoides urinatrix,12.10657895
674,Tachybaptus ruficollis,5.375
675,Tachybaptus novaehollandiae,5.375
676,Tachybaptus rufolavatus,5.375
677,Tachybaptus pelzelnii,5.375
678,Tachybaptus dominicus,5.375
679,Podilymbus podiceps,5.35
680,Podilymbus gigas,5.35
681,Rollandia rolland,5.275
682,Rollandia microptera,5.275
683,Poliocephalus poliocephalus,5.275
684,Poliocephalus rufopectus,5.275
685,Podiceps major,7.128205128
686,Podiceps grisegena,7.128205128
687,Podiceps cristatus,7.128205128
688,Podiceps auritus,7.128205128
689,Podiceps nigricollis,7.128205128
