assessment id,taxon id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Common name,Category,Version,Criteria,PE?,PEW?,Assessment year,Population trend,Marine,Generation length,Depth upper limit,Depth lower limit
914962,162555,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rondeletiola,Rondeletiola capensis,"(Voss, 1962)",,DD,3.1,,,,2012,4,t,,,
915099,162556,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia prashadi,"Winckworth, 1936",Hooded Cuttlefish,LC,3.1,,,,2012,4,t,,,200
915487,162557,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepietta,Sepietta oweniana,"(d'Orbigny, 1839-41 in Férussac &amp; d'Orbigny 1834-1848)",Common Bobtail Squid,DD,3.1,,,,2012,4,t,,8,1000
915981,162558,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia gibba,"Ehrenberg, 1831",,DD,3.1,,,,2012,4,t,,1,
916159,162559,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Euprymna,Euprymna tasmanica,"(Pfeffer, 1884)",Southern Bobtail Squid,DD,3.1,,,,2012,4,t,,,
916353,162560,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiola,Sepiola steenstrupiana,"Levy, 1912",,DD,3.1,,,,2012,4,t,,,
916691,162561,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia insignis,"Smith, 1916",,DD,3.1,,,,2012,4,t,,,42
916849,162562,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Heteroteuthis,Heteroteuthis hawaiiensis,"(Berry, 1909)",,DD,3.1,,,,2012,4,t,,795,820
917042,162563,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia plangon,"Gray, 1849",Striking Cuttlefish,LC,3.1,,,,2012,4,t,,,83
917228,162564,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia bertheloti,"d'Orbigny, 1835 (in Férussac &amp; d'Orbigny 1834-1848)",African Cuttlefish,DD,3.1,,,,2012,4,t,,20,156
918031,162566,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia hieronis,"(Robson, 1924)",,DD,3.1,,,,2012,4,t,,43,500
918228,162567,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepiella,Sepiella ornata,"(Rang, 1837)",Ornate Cuttlefish,DD,3.1,,,,2012,4,t,,20,150
918508,162568,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia irvingi,"Meyer, 1909",,LC,3.1,,,,2012,4,t,,130,170
918649,162569,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Euprymna,Euprymna albatrossae,"Voss, 1962",,DD,3.1,,,,2012,4,t,,,
918772,162570,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia tala,"Khromov, Nikitina &amp; Nesis, 1991",,DD,3.1,,,,2012,4,t,,325,332
919456,162572,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Inioteuthis,Inioteuthis japonica,"(Tiselius, 1845 in Férussac &amp; d'Orbigny 1834-1848)",,DD,3.1,,,,2012,4,t,,,
919654,162573,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Semirossia,Semirossia equalis,"(Voss, 1950)",Greater Shining Bobtail Squid,DD,3.1,,,,2012,4,t,,130,260
919974,162574,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepioloidea,Sepioloidea pacifica,"(Kirk, 1882)",Pacific Bobtail Squid,DD,3.1,,,,2012,4,t,,,
920117,162575,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia megaptera,"Verrill, 1881",,LC,3.1,,,,2012,4,t,,179,1536
920323,162576,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Stoloteuthis,Stoloteuthis weberi,"(Joubin, 1902)",,DD,3.1,,,,2012,4,t,,,
920458,162577,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia kiensis,"Hoyle, 1885",,DD,3.1,,,,2012,4,t,,,256
920620,162578,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia vercoi,"Adam, 1979",,LC,3.1,,,,2012,4,t,,76,201
920760,162579,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia elegans,"Blainville, 1827",Elegant Cuttlefish,DD,3.1,,,,2012,4,t,,0,500
921303,162580,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiola,Sepiola rondeleti,"Leach, 1834 in Férussac &amp; d'Orbigny, 1834-1848",Dwarf Bobtail Squid,DD,3.1,,,,2012,4,t,,,450
921723,162581,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia confusa,"Smith, 1916",,DD,3.1,,,,2012,4,t,,53,352
921890,162582,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia chirotrema,"Berry, 1918",,LC,3.1,,,,2012,4,t,,120,210
922038,162583,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia pardex,"Sasaki, 1913",,DD,3.1,,,,2012,4,t,,,
922185,162584,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia stellifera,"Homenko &amp; Khromov, 1984",Starry Cuttlefish,DD,3.1,,,,2012,4,t,,,200
922477,162585,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE,Idiosepius,Idiosepius minimus,"(d'Orbigny in Férussac &amp; d'Orbigny, 1835)",,DD,3.1,,,,2012,4,t,,,
922630,162586,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepietta,Sepietta petersi,"(Steenstrup, 1887)",,DD,3.1,,,,2012,4,t,,,
922936,162587,ANIMALIA,MOLLUSCA,CEPHALOPODA,SPIRULIDA,SPIRULIDAE,Spirula,Spirula spirula,"(Linnaeus, 1758)",Ram's Horn Squid,LC,3.1,,,,2012,4,t,,300,1750
923314,162588,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia peterseni,"Appellöf, 1886",,DD,3.1,,,,2012,4,t,,20,100
923484,162589,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiola,Sepiola rossiaeformis,"Pfeffer, 1884",,DD,3.1,,,,2012,4,t,,,
923595,162590,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia ivanovi,"Khromov, 1982",,DD,3.1,,,,2012,4,t,,,50
923737,162591,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia foliopeza,"Okutani &amp; Tagawa, 1987",,DD,3.1,,,,2012,4,t,,,
923904,162592,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepiadarium,Sepiadarium auritum,"Robson, 1914",,DD,3.1,,,,2012,4,t,,,
924035,162593,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia lorigera,"Wülker, 1910",Spider Cuttlefish,DD,3.1,,,,2012,4,t,,100,300
924244,162594,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia brevimana,"Steenstrup, 1875",Shortclub Cuttlefish,DD,3.1,,,,2012,4,t,,10,100
924623,162595,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Iridoteuthis,Iridoteuthis iris,"(Berry, 1909)",,DD,3.1,,,,2012,4,t,,,
924746,162596,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia limata,"(Iredale, 1926)",,LC,3.1,,,,2012,4,t,,17,183
