Time  POB KWH SWH HWH MWH FWH BES HAS HOS RIS SBA SBB SHO DEO PEL PES REO DEL FLA LRD SSK MES GRH MAC HAD SAI RED BWH SSH NCO PCO CAP SCR
7.446000e+03 61.208035 39881.090959 33924.756279 0.000000 271941.361982 303951.047889 3613.985136 54800.892907 40529.966827 1552.063141 16484.025342 3168.672800 160600.692537 1377576.882609 1477785.569723 395567.688174 404087.971583 92681.632921 60941.105895 1805087.510835 204023.594146 26287055.772360 338368.163660 1499723.427340 510789.267437 1567074.623384 312003.894719 7501863.626494 2805151.698513 553233.748709 1481994.142731 1877554.795613 1879.725832
7.519000e+03 61.208035 39881.090959 33924.756279 0.000000 271941.361982 303951.047889 3657.221197 54800.892907 40529.966827 1552.063141 17084.007567 3181.595074 160600.692537 1377576.882609 1477785.569723 395567.688174 404087.971583 92851.741783 60941.105895 1805087.510835 204023.594146 26287055.772360 338368.163660 1499723.427340 510789.267437 1567074.623384 312003.894719 7501863.626494 2805151.698513 553233.748709 1481994.142731 1877554.795613 1879.725832
7.592000e+03 61.208035 39881.090959 33924.756279 0.000000 271941.361982 303951.047889 3657.221197 54800.892907 40529.966827 1552.063141 17084.007567 3181.595074 160600.692537 1377576.882609 1477785.569723 395567.688174 404087.971583 92851.741783 60941.105895 1805087.510835 204023.594146 26287055.772360 338368.163660 1499723.427340 510789.267437 1567074.623384 312003.894719 7501863.626494 2805151.698513 553233.748709 1481994.142731 1877554.795613 1879.725832
7.665000e+03 61.208035 39881.090959 33054.672527 0.000000 273180.980838 304709.106163 3657.221197 54800.892907 40529.966827 1552.063141 17084.007567 3181.595074 160600.692537 1377576.882609 1477785.569723 395567.688174 404087.971583 92851.741783 60941.105895 1805087.510835 204023.594146 26287055.772360 336142.202162 1499723.427340 510789.267437 0.000000 312003.894719 7501863.626494 2805151.698513 553233.748709 1615434.507538 1877554.795613 1879.725832
7.738000e+03 61.208035 39881.090959 33054.672527 0.000000 273180.980838 304709.106163 3657.221197 54301.994987 40529.966827 1552.063141 17084.007567 3181.595074 160600.692537 1377576.882609 1477785.569723 0.000000 404087.971583 92851.741783 0.000000 0.000000 204023.594146 26287055.772360 336142.202162 0.000000 0.000000 1256235.342074 319462.512052 6877870.850406 3018353.415153 394243.856045 1615434.507538 2158317.055967 1890.561966
7.811000e+03 60.785792 38958.241163 33054.672527 0.000000 273180.980838 304709.106163 3657.221197 54301.994987 42086.955080 1551.839541 17084.007567 3181.595074 164172.960468 1379716.440338 1485324.704656 424942.401527 336462.583714 92851.741783 61051.828960 1876067.963395 209277.290525 23242079.846795 336142.202162 1451012.533212 445622.628075 1256235.342074 319462.512052 6877870.850406 3018353.415153 394243.856045 1615434.507538 2158317.055967 1890.561966
7.884000e+03 60.785792 38958.241163 33054.672527 0.000000 273180.980838 304709.106163 3711.059478 54301.994987 42086.955080 1551.839541 17493.296531 3183.526704 164172.960468 1379716.440338 1485324.704656 424942.401527 336462.583714 92633.908719 61051.828960 1876067.963395 209277.290525 23242079.846795 336142.202162 1451012.533212 445622.628075 1256235.342074 319462.512052 6877870.850406 3018353.415153 394243.856045 1615434.507538 2158317.055967 1890.561966
7.957000e+03 60.785792 38958.241163 33054.672527 0.000000 273180.980838 304709.106163 3711.059478 54301.994987 42086.955080 1551.839541 17493.296531 3183.526704 164172.960468 1379716.440338 1485324.704656 424942.401527 336462.583714 92633.908719 61051.828960 1876067.963395 209277.290525 23242079.846795 336142.202162 1451012.533212 445622.628075 1256235.342074 319462.512052 6877870.850406 3018353.415153 394243.856045 1615434.507538 2158317.055967 1890.561966
8.030000e+03 60.785792 38958.241163 32097.050392 0.000000 274354.302057 305421.608706 3711.059478 54301.994987 42086.955080 1551.839541 17493.296531 3183.526704 164172.960468 1379716.440338 1485324.704656 424942.401527 336462.583714 92633.908719 61051.828960 1876067.963395 209277.290525 23242079.846795 341407.752757 1451012.533212 445622.628075 0.000000 319462.512052 6877870.850406 3018353.415153 394243.856045 1606904.360752 2158317.055967 1890.561966
8.103000e+03 60.785792 38958.241163 32097.050392 0.000000 274354.302057 305421.608706 3711.059478 53758.561162 42086.955080 1551.839541 17493.296531 3183.526704 164172.960468 1379716.440338 1485324.704656 0.000000 336462.583714 92633.908719 0.000000 0.000000 209277.290525 23242079.846795 341407.752757 0.000000 0.000000 981861.522966 324024.870530 6004079.620155 3061779.086324 322476.435070 1606904.360752 2244691.905009 1777.262345
8.176000e+03 60.479172 38758.666947 32097.050392 0.000000 274354.302057 305421.608706 3711.059478 53758.561162 41857.548778 1553.588144 17493.296531 3183.526704 168649.834165 1386454.628582 1472220.239932 453551.765013 285902.561468 92633.908719 61212.438671 1939047.237952 216069.652724 22447364.202565 341407.752757 1441863.590036 365050.123550 981861.522966 324024.870530 6004079.620155 3061779.086324 322476.435070 1606904.360752 2244691.905009 1777.262345
8.249000e+03 60.479172 38758.666947 32097.050392 0.000000 274354.302057 305421.608706 3766.232161 53758.561162 41857.548778 1553.588144 17807.018277 3180.666038 168649.834165 1386454.628582 1472220.239932 453551.765013 285902.561468 92703.672423 61212.438671 1939047.237952 216069.652724 22447364.202565 341407.752757 1441863.590036 365050.123550 981861.522966 324024.870530 6004079.620155 3061779.086324 322476.435070 1606904.360752 2244691.905009 1777.262345
8.322000e+03 60.479172 38758.666947 32097.050392 0.000000 274354.302057 305421.608706 3766.232161 53758.561162 41857.548778 1553.588144 17807.018277 3180.666038 168649.834165 1386454.628582 1472220.239932 453551.765013 285902.561468 92703.672423 61212.438671 1939047.237952 216069.652724 22447364.202565 341407.752757 1441863.590036 365050.123550 981861.522966 324024.870530 6004079.620155 3061779.086324 322476.435070 1606904.360752 2244691.905009 1777.262345
8.395000e+03 60.479172 38758.666947 31084.976503 0.000000 275496.397696 306123.517105 3766.232161 53758.561162 41857.548778 1553.588144 17807.018277 3180.666038 168649.834165 1386454.628582 1472220.239932 453551.765013 285902.561468 92703.672423 61212.438671 1939047.237952 216069.652724 22447364.202565 346560.011931 1441863.590036 365050.123550 0.000000 324024.870530 6004079.620155 3061779.086324 322476.435070 1728503.075264 2244691.905009 1777.262345
8.468000e+03 60.479172 38758.666947 31084.976503 0.000000 275496.397696 306123.517105 3766.232161 53178.871209 41857.548778 1553.588144 17807.018277 3180.666038 168649.834165 1386454.628582 1472220.239932 0.000000 285902.561468 92703.672423 0.000000 0.000000 216069.652724 22447364.202565 346560.011931 0.000000 0.000000 807185.066684 328968.784161 5490490.567995 3293635.126761 290502.555314 1728503.075264 2101074.547462 1813.260120
8.541000e+03 60.276465 38557.374130 31084.976503 0.000000 275496.397696 306123.517105 3766.232161 53178.871209 43155.575503 1555.982631 17807.018277 3180.666038 173184.189181 1399204.916321 1468399.180755 478991.889036 247871.223663 92703.672423 61327.701092 1994585.391773 222421.522592 22668123.067939 346560.011931 1492986.314574 303678.795459 807185.066684 328968.784161 5490490.567995 3293635.126761 290502.555314 1728503.075264 2101074.547462 1813.260120
8.614000e+03 60.276465 38557.374130 31084.976503 0.000000 275496.397696 306123.517105 3822.840877 53178.871209 43155.575503 1555.982631 18114.210561 3177.901240 173184.189181 1399204.916321 1468399.180755 478991.889036 247871.223663 92605.838556 61327.701092 1994585.391773 222421.522592 22668123.067939 346560.011931 1492986.314574 303678.795459 807185.066684 328968.784161 5490490.567995 3293635.126761 290502.555314 1728503.075264 2101074.547462 1813.260120
8.687000e+03 60.276465 38557.374130 31084.976503 0.000000 275496.397696 306123.517105 3822.840877 53178.871209 43155.575503 1555.982631 18114.210561 3177.901240 173184.189181 1399204.916321 1468399.180755 478991.889036 247871.223663 92605.838556 61327.701092 1994585.391773 222421.522592 22668123.067939 346560.011931 1492986.314574 303678.795459 807185.066684 328968.784161 5490490.567995 3293635.126761 290502.555314 1728503.075264 2101074.547462 1813.260120
8.760000e+03 60.276465 38557.374130 29993.744232 0.000000 276719.763177 306853.066272 3822.840877 53178.871209 43155.575503 1555.982631 18114.210561 3177.901240 173184.189181 1399204.916321 1468399.180755 478991.889036 247871.223663 92605.838556 61327.701092 1994585.391773 222421.522592 22668123.067939 349818.801150 1492986.314574 303678.795459 0.000000 328968.784161 5490490.567995 3293635.126761 290502.555314 1822919.024503 2101074.547462 1813.260120
8.833000e+03 60.276465 38557.374130 29993.744232 0.000000 276719.763177 306853.066272 3822.840877 52483.182210 43155.575503 1555.982631 18114.210561 3177.901240 173184.189181 1399204.916321 1468399.180755 0.000000 247871.223663 92605.838556 0.000000 0.000000 222421.522592 22668123.067939 349818.801150 0.000000 0.000000 698160.443743 354520.142079 5124003.348508 3941684.619142 275476.002073 1822919.024503 1941417.929949 1922.688586
8.906000e+03 60.161772 37373.251347 29993.744232 0.000000 276719.763177 306853.066272 3822.840877 52483.182210 43997.487376 1559.300417 18114.210561 3177.901240 176172.104562 1427946.064206 1458675.491325 499038.183524 219823.163992 92605.838556 61508.202726 2042851.220244 228973.521503 23403278.959214 349818.801150 1463442.816269 244538.191271 698160.443743 354520.142079 5124003.348508 3941684.619142 275476.002073 1822919.024503 1941417.929949 1922.688586
8.979000e+03 60.161772 37373.251347 29993.744232 0.000000 276719.763177 306853.066272 3890.691551 52483.182210 43997.487376 1559.300417 18410.149617 3175.029722 176172.104562 1427946.064206 1458675.491325 499038.183524 219823.163992 92378.113567 61508.202726 2042851.220244 228973.521503 23403278.959214 349818.801150 1463442.816269 244538.191271 698160.443743 354520.142079 5124003.348508 3941684.619142 275476.002073 1822919.024503 1941417.929949 1922.688586
9.052000e+03 60.161772 37373.251347 29993.744232 0.000000 276719.763177 306853.066272 3890.691551 52483.182210 43997.487376 1559.300417 18410.149617 3175.029722 176172.104562 1427946.064206 1458675.491325 499038.183524 219823.163992 92378.113567 61508.202726 2042851.220244 228973.521503 23403278.959214 349818.801150 1463442.816269 244538.191271 698160.443743 354520.142079 5124003.348508 3941684.619142 275476.002073 1822919.024503 1941417.929949 1922.688586
