Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60893.20048,0,0,0,0,0,12215.73034,0,488489.0161,23185.84961,20380.91359,0,0,622392.1532,0,62431.24312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57775.34365,0,0,0,0,0,12125.32977,0,481731.6329,22903.53856,19044.57511,0,0,596517.3004,0,49294.99675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58969.79861,0,0,0,0,0,12036.36774,0,479255.6264,22817.26746,19408.25012,0,0,558293.6475,0,38361.50618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58988.57887,0,0,0,0,0,11930.19426,0,477769.1271,22897.31812,19677.27383,0,0,535203.6552,0,132483.6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59260.87521,0,0,0,0,0,11909.95837,0,477251.3362,22967.94714,19163.0041,0,0,583708.479,0,216411.8558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58855.84735,0,0,0,0,0,11954.78163,0,476026.1978,22850.57131,20194.11601,0,0,638535.8308,0,106201.3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60006.94854,0,0,0,0,0,12120.71291,0,475828.0309,22914.52203,19717.17049,0,0,620851.553,0,88279.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58813.92924,0,0,0,0,0,12195.36398,0,474627.5392,23005.34167,19894.12867,0,0,603508.0491,0,140303.3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58800.41056,0,0,0,0,0,12282.101,0,474333.9592,22875.76308,18643.80197,0,0,605689.4514,0,138529.5034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57908.44708,0,0,0,0,0,12271.18784,0,473836.6287,22925.45791,18972.24992,0,0,582580.2536,0,113217.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
