Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59241.58787,0,0,0,0,0,12495.91486,0,479443.8097,23467.98389,19172.70311,0,0,567126.4711,0,135450.9222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58621.06264,0,0,0,0,0,12470.33342,0,477217.6684,23332.6889,19355.68685,0,0,551674.4596,0,121187.0406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57838.78966,0,0,0,0,0,12393.69407,0,475467.8498,23309.42657,19518.53065,0,0,567656.23,0,79907.52437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56762.0269,0,0,0,0,0,12331.39675,0,474407.259,23381.00931,18754.01811,0,0,569612.8535,0,66613.96065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59896.18826,0,0,0,0,0,12333.8392,0,478309.927,23313.63793,18478.05115,0,0,573611.7535,0,106576.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61707.73224,0,0,0,0,0,12372.14122,0,479615.1136,23366.74807,17379.47413,0,0,589441.1581,0,77535.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60420.80296,0,0,0,0,0,12456.08607,0,479126.6979,23361.33859,18411.27728,0,0,602285.5421,0,52063.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59192.13023,0,0,0,0,0,12556.44804,0,478500.2958,23291.94559,18518.08929,0,0,602440.2145,0,76328.98385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57503.76387,0,0,0,0,0,12546.76015,0,476690.9814,23256.40284,18476.53218,0,0,598556.0855,0,126271.3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57840.74988,0,0,0,0,0,12509.07796,0,475208.6091,23262.18309,18031.74203,0,0,596208.1157,0,107673.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
