indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
33,Great skua,SBA,24400.57267,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366
34,Black-legged kittiwake,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
35,Arctic tern,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
36,Razorbill,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
37,Common guillemot,SBA,24400.57267,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366
38,Brünnich guillemot,SBA,24400.57267,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366
39,Atlantic puffin,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
40,White-tailed eagle,SBB,5003.372591,5003.1245,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364
41,Common eider,SBA,24400.57267,24720.5216,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366
42,Hoppekreps,ZS,87621052.3,52709764.28,59781826.24,25494238.11,12018579.39,19735493.46,27441654.65,25780406.58,4138499.077,82153187.87,10361366.86,43421053.46,112590428.6,9686558.377,89670184.04,14453633.46,65920611.67,27781570.64,15425641.91,22280324.8,13334347.05,55448410.55,34647379.68,52207562.25,84314777.34,56340017.37,41078421.14,11028296.72,14610704.5,2327708.788,44886703.57,15078260.85,65361885.44,1912717.907,52946258
