indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
33,Great skua,SBA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347
34,Black-legged kittiwake,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
35,Arctic tern,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
36,Razorbill,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
37,Common guillemot,SBA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347
38,Brünnich guillemot,SBA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347
39,Atlantic puffin,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
40,White-tailed eagle,SBB,5003.604261,5003.302634,5002.906572,5012.119776,5020.382728,5025.509313,5030.981645,5033.176963,5039.213541,5043.995294,5048.452144,5054.232301,5057.550189,5057.08253,5061.509168,5073.071094,5078.301506,5080.774008,5081.295658,5085.842944,5088.751328,5090.674627,5091.574281,5090.794032,5089.153417,5087.01978,5084.251902,5081.388015,5078.829726,5075.439178,5071.435899,5066.947273,5062.140997,5056.623357,5051.084965
41,Common eider,SBA,24400.49322,24720.40877,25010.44568,25322.43388,25565.26136,25753.58951,25947.66524,26187.0791,26371.01573,26544.71001,26679.7205,26763.74278,26867.82318,26912.50374,27007.79864,27132.9075,27251.91798,27285.10106,27278.54911,27314.01708,27356.2374,27390.43777,27420.94413,27451.35941,27476.58741,27494.80732,27512.09668,27532.27907,27553.5374,27572.46667,27587.51344,27592.67314,27595.58592,27593.30332,27592.13347
42,Hoppekreps,ZS,85786152.77,65591295.62,53097897.37,8729730.048,16647671.83,18817495.72,29838572.61,24356402.18,296339.3613,46755849.12,18836602.47,34770497.28,98649402.28,43046415.69,25496369.25,30885582.19,17849030.46,64872093.52,8486168.97,21868303.41,13179156.1,23469429.19,36095201.75,84713261.2,79303797.56,15963757.34,34596178.87,34079752.49,804138653.7,5618639.614,55777485.11,23006478.57,4428060.713,49478330.76,67025924.32
43,Filograna implexa,BC,7407740.98,7694102.078,7980066.956,8258608.918,8505144.695,8803551.895,9129272.665,9460370.089,9818633.131,10176443.41,10520958.15,10836529.18,11091857.56,11238248.45,11212946.86,11006905.31,10711629.71,10481064.37,10401057.08,10388069.79,10519834.93,10690652.11,10890846.49,11104473.64,11320491.14,11520203.32,11696010.86,11846778.45,11972325.27,12076548.88,12169033.76,12252980.22,12330156.56,12408998.51,12493733.54
44,Geodia spp,SPO,9866318.057,9876310.181,9883691.511,9892799.587,9918347.726,9934545.228,9945633.088,9959254.684,9971990.606,9977370.676,9985967.118,10026528.86,10036960.26,10053289.88,10062001.34,10072715.37,10119189.74,10138933.36,10154457.51,10173139.4,10183580.37,10199739.05,10251306.76,10264192.2,10273305.12,10287080.68,10294997.97,10337134.27,10366502.01,10381777.4,10394237.2,10409800.45,10424818.39,10460697.76,10479198.47
45,Tentorium semisuberites,COR,10268666.47,10356404.11,10392762.05,10414113.78,10637571.73,10830171.45,10843419.18,10879999.65,10904755.52,10913405.12,10953553.19,11393245.8,11489368.82,11577818.85,11672859.86,11801270.18,12531791.02,12978397.76,13110687.15,13355859.61,13449149.28,13674775.68,14575328.92,14737685.97,14999067.67,15397036.42,15488971.78,16163011.02,16905651.94,17066090.09,17164660,17443235.16,17535090.44,18279570.7,18710667.87
46,Umbellula encrinus,BD,28544402.2,33215468.64,39102011.65,47028571.88,57166501.67,68756305.78,81356910.96,97771469.53,128332741.3,170718576.6,228700989.2,307099112.7,408764784.4,527856515,644924699.7,725256965.9,741731830.6,692882533.4,581602691.2,409540882.8,428625375.9,473347159.2,518246641.3,561385535.4,603262070.7,642588990.7,678757232.4,712125683.8,742250559.6,769253391.8,794455843.4,816591047.1,834623369.7,850214033.9,864091059.2
